"No.","Time","Source","Destination","Protocol","Length","Info"
"119","0.630008477","192.168.126.132","142.250.75.68","QUIC","75","Protected Payload (KP0), DCID=e26c13aa31d756cf"
"120","0.630218231","192.168.126.132","142.250.75.68","QUIC","75","Protected Payload (KP0), DCID=e26c13aa31d756cf"
"121","0.630521499","192.168.126.132","142.250.75.68","QUIC","75","Protected Payload (KP0), DCID=e26c13aa31d756cf"
"122","0.630624452","192.168.126.132","173.194.76.84","QUIC","79","Handshake, DCID=e3fb739accb3c31f"
"123","0.634023275","142.250.75.68","192.168.126.132","TLSv1.3","2878","Server Hello, Change Cipher Spec"
"124","0.634061141","192.168.126.132","142.250.75.68","TCP","54","33380  >  443 [ACK] Seq=1789 Ack=2825 Win=65535 Len=0"
"125","0.636171509","142.250.75.68","192.168.126.132","TLSv1.3","2878","Server Hello, Change Cipher Spec"
"126","0.636188589","192.168.126.132","142.250.75.68","TCP","54","33390  >  443 [ACK] Seq=1757 Ack=2825 Win=65535 Len=0"
"127","0.637326633","142.250.75.68","192.168.126.132","TLSv1.3","2610","Application Data"
"128","0.637326712","142.250.75.68","192.168.126.132","TLSv1.3","5434","Server Hello, Change Cipher Spec, Application Data"
"129","0.637326750","142.250.75.68","192.168.126.132","TCP","1466","443  >  33390 [PSH, ACK] Seq=2825 Ack=1757 Win=64240 Len=1412 [TCP PDU reassembled in 136]"
"130","0.637326787","142.250.75.68","192.168.126.132","TLSv1.3","5433","Server Hello, Change Cipher Spec, Application Data"
"131","0.637342469","192.168.126.132","142.250.75.68","TCP","54","33380  >  443 [ACK] Seq=1789 Ack=5381 Win=65535 Len=0"
"132","0.637366841","192.168.126.132","142.250.75.68","TCP","54","33366  >  443 [ACK] Seq=1821 Ack=5381 Win=65535 Len=0"
"133","0.637378610","192.168.126.132","142.250.75.68","TCP","54","33390  >  443 [ACK] Seq=1757 Ack=4237 Win=65535 Len=0"
"134","0.637390402","192.168.126.132","142.250.75.68","TCP","54","33384  >  443 [ACK] Seq=1757 Ack=5380 Win=65535 Len=0"
"135","0.637408700","173.194.76.84","192.168.126.132","QUIC","865","Protected Payload (KP0)"
"136","0.637408736","142.250.75.68","192.168.126.132","TLSv1.3","1199","Application Data"
"137","0.637414290","192.168.126.132","142.250.75.68","TCP","54","33390  >  443 [ACK] Seq=1757 Ack=5382 Win=65535 Len=0"
"138","0.640236876","192.168.126.132","142.250.75.68","TLSv1.3","128","Change Cipher Spec, Application Data"
"139","0.640749851","142.250.75.68","192.168.126.132","TCP","60","443  >  33390 [ACK] Seq=5382 Ack=1831 Win=64240 Len=0"
"140","0.640933047","192.168.126.132","142.250.75.68","TLSv1.3","128","Change Cipher Spec, Application Data"
"141","0.641131693","142.250.75.68","192.168.126.132","TCP","60","443  >  33380 [ACK] Seq=5381 Ack=1863 Win=64240 Len=0"
"142","0.641473732","192.168.126.132","142.250.75.68","TLSv1.3","128","Change Cipher Spec, Application Data"
"143","0.641898432","142.250.75.68","192.168.126.132","TCP","60","443  >  33366 [ACK] Seq=5381 Ack=1895 Win=64240 Len=0"
"144","0.642164705","192.168.126.132","142.250.75.68","TLSv1.3","128","Change Cipher Spec, Application Data"
"145","0.642581085","142.250.75.68","192.168.126.132","TCP","60","443  >  33384 [ACK] Seq=5380 Ack=1831 Win=64240 Len=0"
"146","0.642691765","192.168.126.132","173.194.76.84","QUIC","131","Handshake, DCID=e3fb739accb3c31f"
"147","0.642850144","192.168.126.132","173.194.76.84","QUIC","114","Protected Payload (KP0), DCID=e3fb739accb3c31f"
"148","0.643405676","192.168.126.132","173.194.76.84","QUIC","651","Protected Payload (KP0), DCID=e3fb739accb3c31f"
"149","0.657244177","192.168.126.132","142.250.75.68","QUIC","76","Protected Payload (KP0), DCID=e26c13aa31d756cf"
"150","0.670891879","192.168.126.132","192.168.126.2","DNS","85","Standard query 0xa3eb A edu-il.zoom.us OPT"
"151","0.671141878","192.168.126.132","192.168.126.2","DNS","85","Standard query 0xd11e HTTPS edu-il.zoom.us OPT"
"152","0.673099240","173.194.76.84","192.168.126.132","TCP","60","443  >  37032 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"153","0.673159234","192.168.126.132","173.194.76.84","TCP","54","37032  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"154","0.673655746","192.168.126.132","173.194.76.84","TLSv1.3","1783","Client Hello (SNI=accounts.google.com)"
"155","0.674439518","173.194.76.84","192.168.126.132","TCP","60","443  >  37032 [ACK] Seq=1 Ack=1461 Win=64240 Len=0"
"156","0.674439900","173.194.76.84","192.168.126.132","TCP","60","443  >  37032 [ACK] Seq=1 Ack=1730 Win=64240 Len=0"
"157","0.686525439","192.168.126.2","192.168.126.132","DNS","192","Standard query response 0xd11e HTTPS edu-il.zoom.us CNAME us02web.zoom.us SOA ns-1137.awsdns-14.org OPT"
"158","0.686925627","192.168.126.132","192.168.126.2","DNS","86","Standard query 0x1f0d HTTPS us02web.zoom.us OPT"
"159","0.687935578","192.168.126.2","192.168.126.132","DNS","123","Standard query response 0xa3eb A edu-il.zoom.us CNAME us02web.zoom.us A 170.114.52.3 OPT"
"160","0.694447124","142.250.75.68","192.168.126.132","QUIC","633","Protected Payload (KP0)"
"161","0.694447413","142.250.75.68","192.168.126.132","QUIC","170","Protected Payload (KP0)"
"162","0.694447492","142.250.75.68","192.168.126.132","QUIC","1288","Protected Payload (KP0)"
"163","0.694447535","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"164","0.694447576","142.250.75.68","192.168.126.132","QUIC","612","Protected Payload (KP0)"
"165","0.694447615","142.250.75.68","192.168.126.132","QUIC","115","Protected Payload (KP0)"
"166","0.694990520","192.168.126.132","142.250.75.68","QUIC","79","Protected Payload (KP0), DCID=e26c13aa31d756cf"
"167","0.695271894","192.168.126.132","142.250.75.68","QUIC","79","Protected Payload (KP0), DCID=e26c13aa31d756cf"
"168","0.695421226","192.168.126.132","142.250.75.68","QUIC","75","Protected Payload (KP0), DCID=e26c13aa31d756cf"
"169","0.698787595","192.168.126.2","192.168.126.132","DNS","171","Standard query response 0x1f0d HTTPS us02web.zoom.us SOA ns-1137.awsdns-14.org OPT"
"170","0.699682020","192.168.126.132","170.114.52.3","TCP","74","40794  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=4175654653 TSecr=0 WS=128"
"171","0.702333143","173.194.76.84","192.168.126.132","QUIC","872","Protected Payload (KP0)"
"172","0.702598503","192.168.126.132","173.194.76.84","QUIC","211","Protected Payload (KP0), DCID=e3fb739accb3c31f"
"173","0.704976986","142.250.75.68","192.168.126.132","QUIC","65","Protected Payload (KP0)"
"174","0.704977143","142.250.75.68","192.168.126.132","QUIC","128","Protected Payload (KP0)"
"175","0.707927765","142.250.75.68","192.168.126.132","QUIC","294","Protected Payload (KP0)"
"176","0.707928054","142.250.75.68","192.168.126.132","QUIC","1288","Protected Payload (KP0)"
"177","0.707928090","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"178","0.707928114","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"179","0.707928136","142.250.75.68","192.168.126.132","QUIC","854","Protected Payload (KP0)"
"180","0.708198221","142.250.75.68","192.168.126.132","QUIC","199","Protected Payload (KP0)"
"181","0.708206979","192.168.126.132","142.250.75.68","QUIC","77","Protected Payload (KP0), DCID=e26c13aa31d756cf"
"182","0.708427930","192.168.126.132","142.250.75.68","QUIC","77","Protected Payload (KP0), DCID=e26c13aa31d756cf"
"183","0.708485202","192.168.126.132","142.250.75.68","QUIC","73","Protected Payload (KP0), DCID=e26c13aa31d756cf"
